project,source_excerpt,field,model_a,model_b,value_a,value_b,agree,verdict,correct_value
p5-2014-cmb-s4,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | CMB-S4 Y Y Y",rank_or_scenario,claude-sonnet,claude-haiku,"Y (Scenarios A, B, C)","Scenario A, B, C",check,,
p5-2014-cmb-s4,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | CMB-S4 Y Y Y",science_driver,claude-sonnet,claude-haiku,Understand Cosmic Acceleration: Dark Energy and Inflation,Understand cosmic acceleration: dark energy and inflation; Pursue the physics associated with neutrino mass,no,,
p5-2014-cmb-s4,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | CMB-S4 Y Y Y",promise_quote,claude-sonnet,claude-haiku,Support CMB experiments as part of the core particle physics program. The multidisciplinary nature of the science warrants continued multiagency support.,Support CMB experiments as part of the core particle physics program. The multidisciplinary nature of the science warrants continued multiagency support.,yes,,
p5-2014-cmb-s4,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | CMB-S4 Y Y Y",science_question,claude-sonnet,claude-haiku,Measure the amplitude of primordial gravitational waves from inflation via CMB B-mode polarization to percent-level precision.,Measure inflation energy scale and neutrino masses using ultra-high sensitivity CMB observations,check,,
p5-2014-cmb-s4,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | CMB-S4 Y Y Y",cost_at_ranking,claude-sonnet,claude-haiku,,,yes,,
p5-2014-cmb-s4,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | CMB-S4 Y Y Y",cost_basis,claude-sonnet,claude-haiku,,Mid-scale experiment; grows from Stage 3 to Stage 4,no,,
p5-2014-cmb-s4,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | CMB-S4 Y Y Y",target_date,claude-sonnet,claude-haiku,"2025 (per Goals and Timeframes, p. 39: percent-level amplitude or sub-percent spectrum constraint by 2025, following a 2015-17 confirmation window for the BICEP2 signal)",,no,,
p5-2014-cmb-s4,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | CMB-S4 Y Y Y",source_locator,claude-sonnet,claude-haiku,Recommendation 18 (p. 14); Table 1 (p. 17); p. 39,"Table 1, Recommendation 18",check,,
p5-2014-cta,Not in Table 1. Recommendation 21,agency,claude-sonnet,claude-haiku,NSF Astronomy/NSF Physics/DOE-HEP,"NSF Astronomy, NSF-PHY, DOE-HEP",no,,
p5-2014-cta,Not in Table 1. Recommendation 21,size_class,claude-sonnet,claude-haiku,Small projects portfolio (per Recommendation 21 text),Small,yes,,
p5-2014-cta,Not in Table 1. Recommendation 21,rank_or_scenario,claude-sonnet,claude-haiku,"recommended, contingent on NSF Astronomy funding","Scenario A, B, C (conditional on NSF Astronomy funding)",check,,
p5-2014-cta,Not in Table 1. Recommendation 21,science_driver,claude-sonnet,claude-haiku,Identify the New Physics of Dark Matter,Identify the new physics of dark matter,yes,,
p5-2014-cta,Not in Table 1. Recommendation 21,promise_quote,claude-sonnet,claude-haiku,Invest in CTA as part of the small projects portfolio if the critical NSF Astronomy funding can be obtained.,Invest in CTA as part of the small projects portfolio if the critical NSF Astronomy funding can be obtained.,yes,,
p5-2014-cta,Not in Table 1. Recommendation 21,science_question,claude-sonnet,claude-haiku,"Search for indirect dark matter annihilation signals in the inner Galaxy and dwarf galaxies, reaching the WIMP thermal annihilation cross section up to ~10 TeV WIMP masses.",Search for dark matter annihilation signals in gamma rays from galactic center and dwarf galaxies,check,,
p5-2014-cta,Not in Table 1. Recommendation 21,cost_at_ranking,claude-sonnet,claude-haiku,,,yes,,
p5-2014-cta,Not in Table 1. Recommendation 21,cost_basis,claude-sonnet,claude-haiku,,U.S. scope can be reduced by up to factor of two and still provide valuable sensitivity,no,,
p5-2014-cta,Not in Table 1. Recommendation 21,target_date,claude-sonnet,claude-haiku,,,yes,,
p5-2014-cta,Not in Table 1. Recommendation 21,source_locator,claude-sonnet,claude-haiku,Recommendation 21 (p. 15),Recommendation 21,check,,
p5-2014-desi,"Table 1 (p. 17), raw text, columns A B C: Additional Small Projects | DESI N Y Y",agency,claude-sonnet,claude-haiku,DOE-HEP/NSF (international partners),"DOE-HEP, NSF, international partners",no,,
p5-2014-desi,"Table 1 (p. 17), raw text, columns A B C: Additional Small Projects | DESI N Y Y",size_class,claude-sonnet,claude-haiku,'Additional Small Projects' category in Table 1 (beyond the Small Projects Portfolio),Medium,no,,
p5-2014-desi,"Table 1 (p. 17), raw text, columns A B C: Additional Small Projects | DESI N Y Y",rank_or_scenario,claude-sonnet,claude-haiku,N (Scenario A); Y (Scenario B); Y (Scenario C),"Scenario A (not-recommended), Scenario B, Scenario C",check,,
p5-2014-desi,"Table 1 (p. 17), raw text, columns A B C: Additional Small Projects | DESI N Y Y",science_driver,claude-sonnet,claude-haiku,Understand Cosmic Acceleration: Dark Energy and Inflation,Understand cosmic acceleration: dark energy and inflation; Pursue the physics associated with neutrino mass,no,,
p5-2014-desi,"Table 1 (p. 17), raw text, columns A B C: Additional Small Projects | DESI N Y Y",promise_quote,claude-sonnet,claude-haiku,"Build DESI as a major step forward in dark energy science, if funding permits (see Scenarios discussion below).","DESI provides a major leap forward in the study of dark energy, while also making important contributions to the physics of inflation and neutrinos.",check,,
p5-2014-desi,"Table 1 (p. 17), raw text, columns A B C: Additional Small Projects | DESI N Y Y",science_question,claude-sonnet,claude-haiku,"Measure the expansion history of the Universe via baryon acoustic oscillations to percent-level precision over the past ten billion years, constraining the dark energy equation of state.",Measure dark energy equation of state w(z) to percent precision using spectroscopy of 35 million galaxies and quasars,check,,
p5-2014-desi,"Table 1 (p. 17), raw text, columns A B C: Additional Small Projects | DESI N Y Y",cost_at_ranking,claude-sonnet,claude-haiku,,,yes,,
p5-2014-desi,"Table 1 (p. 17), raw text, columns A B C: Additional Small Projects | DESI N Y Y",cost_basis,claude-sonnet,claude-haiku,,,yes,,
p5-2014-desi,"Table 1 (p. 17), raw text, columns A B C: Additional Small Projects | DESI N Y Y",target_date,claude-sonnet,claude-haiku,"5% precision on dark-energy parameters by 2020, improving to 1% by 2025 (per Goals and Timeframes, p. 39, shared goal with LSST)",,no,,
p5-2014-desi,"Table 1 (p. 17), raw text, columns A B C: Additional Small Projects | DESI N Y Y",source_locator,claude-sonnet,claude-haiku,Recommendation 16 (p. 13); Table 1 (p. 17); p. 39,"Table 1, Recommendation 16",check,,
p5-2014-dm-g2,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | DM G2 Y Y Y",agency,claude-sonnet,claude-haiku,DOE-HEP/NSF-PHY,"DOE-HEP, NSF-PHY",no,,
p5-2014-dm-g2,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | DM G2 Y Y Y",size_class,claude-sonnet,claude-haiku,Medium ($50M-$200M),Medium,yes,,
p5-2014-dm-g2,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | DM G2 Y Y Y",rank_or_scenario,claude-sonnet,claude-haiku,"Y (Scenarios A, B, C); proceed immediately","Scenario A, B, C",check,,
p5-2014-dm-g2,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | DM G2 Y Y Y",science_driver,claude-sonnet,claude-haiku,Identify the New Physics of Dark Matter,Identify the new physics of dark matter,yes,,
p5-2014-dm-g2,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | DM G2 Y Y Y",promise_quote,claude-sonnet,claude-haiku,Proceed immediately with a broad second-generation (G2) dark matter direct detection program with capabilities described in the text. Invest in this program at a level significantly above that called for in the 2012 joint agency announcement of opportunity.,Proceed immediately with a broad second-generation (G2) dark matter direct detection program with capabilities described in the text. Invest in this program at a level significantly above that called for in the 2012 joint agency announcement of opportunity.,yes,,
p5-2014-dm-g2,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | DM G2 Y Y Y",science_question,claude-sonnet,claude-haiku,"Search for WIMP dark matter across a broad mass range (1 GeV to 100 TeV) using multiple target materials to probe spin-independent and spin-dependent interactions, including low-mass WIMP and axion searches.",Search for WIMP dark matter across broad mass range (1 GeV to 100 TeV) using multiple target materials and techniques,check,,
p5-2014-dm-g2,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | DM G2 Y Y Y",cost_at_ranking,claude-sonnet,claude-haiku,,,yes,,
p5-2014-dm-g2,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | DM G2 Y Y Y",cost_basis,claude-sonnet,claude-haiku,,Substantially larger investment than 2012 joint agency announcement,no,,
p5-2014-dm-g2,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | DM G2 Y Y Y",target_date,claude-sonnet,claude-haiku,"2015-2024 (per Goals and Timeframes, p. 37: 'Probe dark matter interactions with ordinary matter ... (2015-2024)')",2015-2024 probe dark matter,no,,
p5-2014-dm-g2,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | DM G2 Y Y Y",source_locator,claude-sonnet,claude-haiku,Recommendation 19 (p. 14); Table 1 (p. 17); p. 37,"Table 1, Recommendation 19",check,,
p5-2014-dm-g3,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | DM G3 Y, reduced Y Y [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",agency,claude-sonnet,claude-haiku,DOE-HEP/NSF-PHY (international partnership sought),"DOE-HEP, NSF-PHY",no,,
p5-2014-dm-g3,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | DM G3 Y, reduced Y Y [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",size_class,claude-sonnet,claude-haiku,Medium ($50M-$200M) per Table 1 'Medium Projects' grouping,Small,no,,
p5-2014-dm-g3,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | DM G3 Y, reduced Y Y [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",rank_or_scenario,claude-sonnet,claude-haiku,"Y, reduced (Scenario A); Y (Scenario B); Y (Scenario C)","Scenario A (reduced), Scenario B, Scenario C",check,,
p5-2014-dm-g3,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | DM G3 Y, reduced Y Y [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",science_driver,claude-sonnet,claude-haiku,Identify the New Physics of Dark Matter,Identify the new physics of dark matter,yes,,
p5-2014-dm-g3,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | DM G3 Y, reduced Y Y [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",promise_quote,claude-sonnet,claude-haiku,"Support one or more third-generation (G3) direct detection experiments, guided by the results of the preceding searches. Seek a globally complementary program and increased international partnership in G3 experiments.","Support one or more third-generation (G3) direct detection experiments, guided by the results of the preceding searches. Seek a globally complementary program and increased international partnership in G3 experiments.",yes,,
p5-2014-dm-g3,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | DM G3 Y, reduced Y Y [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",science_question,claude-sonnet,claude-haiku,"Extend WIMP direct-detection sensitivity down to the neutrino-background limit via one or more next-generation, internationally coordinated detectors.",Explore dark matter parameter space down to neutrino background limits with maximal discovery potential,check,,
p5-2014-dm-g3,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | DM G3 Y, reduced Y Y [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",cost_at_ranking,claude-sonnet,claude-haiku,,,yes,,
p5-2014-dm-g3,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | DM G3 Y, reduced Y Y [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",cost_basis,claude-sonnet,claude-haiku,,,yes,,
p5-2014-dm-g3,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | DM G3 Y, reduced Y Y [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",target_date,claude-sonnet,claude-haiku,"2021-2030 (per Goals and Timeframes, p. 37)",2021-2030 phase,no,,
p5-2014-dm-g3,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | DM G3 Y, reduced Y Y [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",source_locator,claude-sonnet,claude-haiku,Recommendation 20 (p. 14); Table 1 (p. 17); p. 37,"Table 1, Recommendation 20",check,,
p5-2014-hl-lhc,"Table 1 (p. 17), raw text, columns A B C: Large Projects | HL-LHC Y Y Y",agency,claude-sonnet,claude-haiku,DOE-HEP/NSF-PHY,"DOE-HEP, NSF-PHY",no,,
p5-2014-hl-lhc,"Table 1 (p. 17), raw text, columns A B C: Large Projects | HL-LHC Y Y Y",size_class,claude-sonnet,claude-haiku,Large (>$200M),Large,yes,,
p5-2014-hl-lhc,"Table 1 (p. 17), raw text, columns A B C: Large Projects | HL-LHC Y Y Y",rank_or_scenario,claude-sonnet,claude-haiku,"Y (Scenarios A, B, C); second of three large projects in peak-construction order; highest-priority near-term large project","Scenario A, B, C",check,,
p5-2014-hl-lhc,"Table 1 (p. 17), raw text, columns A B C: Large Projects | HL-LHC Y Y Y",science_driver,claude-sonnet,claude-haiku,Use the Higgs Boson as a New Tool for Discovery (also Dark Matter and Explore the Unknown per Table 1),"Use the Higgs boson as a new tool for discovery; Explore the unknown: new particles, interactions, and physical principles; Identify the new physics of dark matter",no,,
p5-2014-hl-lhc,"Table 1 (p. 17), raw text, columns A B C: Large Projects | HL-LHC Y Y Y",promise_quote,claude-sonnet,claude-haiku,The LHC upgrades constitute our highest-priority near-term large project.,The HL-LHC has a compelling and comprehensive program that includes essential measurements of the Higgs properties.,check,,
p5-2014-hl-lhc,"Table 1 (p. 17), raw text, columns A B C: Large Projects | HL-LHC Y Y Y",science_question,claude-sonnet,claude-haiku,"Measure Higgs boson couplings to a few percent precision, probe Higgs invisible decays to 10% sensitivity, and extend searches for new TeV-scale particles and dark matter beyond LHC reach.",Measure Higgs boson properties to percent-level precision using 10 times more data than LHC Run 1,check,,
p5-2014-hl-lhc,"Table 1 (p. 17), raw text, columns A B C: Large Projects | HL-LHC Y Y Y",cost_at_ranking,claude-sonnet,claude-haiku,,,yes,,
p5-2014-hl-lhc,"Table 1 (p. 17), raw text, columns A B C: Large Projects | HL-LHC Y Y Y",cost_basis,claude-sonnet,claude-haiku,,,yes,,
p5-2014-hl-lhc,"Table 1 (p. 17), raw text, columns A B C: Large Projects | HL-LHC Y Y Y",target_date,claude-sonnet,claude-haiku,"operate in the 2020s (per p. 27, 'The HL-LHC will operate in the 2020s')",2020s operations,no,,
p5-2014-hl-lhc,"Table 1 (p. 17), raw text, columns A B C: Large Projects | HL-LHC Y Y Y",source_locator,claude-sonnet,claude-haiku,Recommendation 10 (p. 10); Table 1 (p. 17),"Table 1, Recommendation 10",check,,
p5-2014-ilc,"Table 1 (p. 17), raw text, columns A B C: Large Projects | ILC R&D only R&D, Y [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",agency,claude-sonnet,claude-haiku,DOE-HEP/NSF-PHY (international; Japan prospective host),"DOE-HEP, NSF-PHY (U.S. participation)",no,,
p5-2014-ilc,"Table 1 (p. 17), raw text, columns A B C: Large Projects | ILC R&D only R&D, Y [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",size_class,claude-sonnet,claude-haiku,Large (>$200M),Large,yes,,
p5-2014-ilc,"Table 1 (p. 17), raw text, columns A B C: Large Projects | ILC R&D only R&D, Y [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",rank_or_scenario,claude-sonnet,claude-haiku,"R&D only (Scenario A); R&D, then Y (Scenario B); high-priority option for world-leading roles (Scenario C)","Scenario A (R&D only), Scenario B (R&D, Y with possible hardware), Scenario C (Y with leading roles)",check,,
p5-2014-ilc,"Table 1 (p. 17), raw text, columns A B C: Large Projects | ILC R&D only R&D, Y [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",science_driver,claude-sonnet,claude-haiku,Use the Higgs Boson as a New Tool for Discovery (also Dark Matter and Explore the Unknown per Table 1),"Use the Higgs boson as a new tool for discovery; Explore the unknown: new particles, interactions, and physical principles",no,,
p5-2014-ilc,"Table 1 (p. 17), raw text, columns A B C: Large Projects | ILC R&D only R&D, Y [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",promise_quote,claude-sonnet,claude-haiku,"As the physics case is extremely strong, we plan in all Scenarios for ILC support at some level through a decision point within the next five years.","After the HL-LHC, the next opportunity to investigate the properties of the Higgs in detail is an e+e- collider, of which the International Linear Collider (ILC) is the most mature in its design and readiness for construction.",check,,
p5-2014-ilc,"Table 1 (p. 17), raw text, columns A B C: Large Projects | ILC R&D only R&D, Y [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",science_question,claude-sonnet,claude-haiku,"Measure Higgs boson couplings to the percent or sub-percent level in a model-independent way via clean e+e- collisions, complementing HL-LHC.",Measure Higgs boson couplings to percent or sub-percent level precision to discover new physics,check,,
p5-2014-ilc,"Table 1 (p. 17), raw text, columns A B C: Large Projects | ILC R&D only R&D, Y [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",cost_at_ranking,claude-sonnet,claude-haiku,,,yes,,
p5-2014-ilc,"Table 1 (p. 17), raw text, columns A B C: Large Projects | ILC R&D only R&D, Y [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",cost_basis,claude-sonnet,claude-haiku,,500 GeV e+e- accelerator upgradable to 1 TeV,no,,
p5-2014-ilc,"Table 1 (p. 17), raw text, columns A B C: Large Projects | ILC R&D only R&D, Y [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",target_date,claude-sonnet,claude-haiku,decision point within the next five years,Potential construction decision within 5 years; operations in early 2030s if approved,no,,
p5-2014-ilc,"Table 1 (p. 17), raw text, columns A B C: Large Projects | ILC R&D only R&D, Y [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",source_locator,claude-sonnet,claude-haiku,Recommendation 11 (p. 11); Table 1 (p. 17),"Table 1, Recommendation 11",check,,
p5-2014-lar1,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | LAr1 N N N",agency,claude-sonnet,claude-haiku,"DOE-HEP (Fermilab, proposed)",DOE-HEP,no,,
p5-2014-lar1,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | LAr1 N N N",size_class,claude-sonnet,claude-haiku,Medium (mid-scale) per Table 1 'Medium Projects' grouping,Large,no,,
p5-2014-lar1,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | LAr1 N N N",rank_or_scenario,claude-sonnet,claude-haiku,"not-recommended (N, N, N in all three scenarios)",not-recommended,check,,
p5-2014-lar1,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | LAr1 N N N",science_driver,claude-sonnet,claude-haiku,Pursue the Physics Associated with Neutrino Mass,Pursue the physics associated with neutrino mass,yes,,
p5-2014-lar1,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | LAr1 N N N",promise_quote,claude-sonnet,claude-haiku,"An appropriate combination of smaller near-term projects may accomplish most of these goals at much lower cost, so proceeding with LAr1 is not recommended at this time.","An appropriate combination of smaller near-term projects may accomplish most of these goals at much lower cost, so proceeding with LAr1 is not recommended at this time.",yes,,
p5-2014-lar1,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | LAr1 N N N",science_question,claude-sonnet,claude-haiku,Address both the neutrino and antineutrino short-baseline oscillation anomalies with a mid-scale liquid argon detector.,Address short-baseline neutrino anomalies using liquid argon detector technology,check,,
p5-2014-lar1,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | LAr1 N N N",cost_at_ranking,claude-sonnet,claude-haiku,,,yes,,
p5-2014-lar1,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | LAr1 N N N",cost_basis,claude-sonnet,claude-haiku,,Smaller combination of projects preferred for cost efficiency,no,,
p5-2014-lar1,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | LAr1 N N N",target_date,claude-sonnet,claude-haiku,,,yes,,
p5-2014-lar1,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | LAr1 N N N",source_locator,claude-sonnet,claude-haiku,Table 1 (p. 17); p. 13,"Section 2.2, page 13",check,,
p5-2014-lbnf,"Table 1 (p. 17), raw text, columns A B C: Large Projects | LBNF + PIP-II Y, Y Y, enhanced [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",agency,claude-sonnet,claude-haiku,"DOE-HEP (Fermilab, host of new international collaboration)","DOE-HEP, Fermilab",no,,
p5-2014-lbnf,"Table 1 (p. 17), raw text, columns A B C: Large Projects | LBNF + PIP-II Y, Y Y, enhanced [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",size_class,claude-sonnet,claude-haiku,Large (>$200M); bundled with PIP-II as 'LBNF + PIP-II' in Table 1,Large,yes,,
p5-2014-lbnf,"Table 1 (p. 17), raw text, columns A B C: Large Projects | LBNF + PIP-II Y, Y Y, enhanced [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",rank_or_scenario,claude-sonnet,claude-haiku,"Y (Scenario A, delayed ramp-up); Y enhanced (Scenario B); further enhanced (Scenario C); highest-priority large project in its timeframe; third of three large projects by peak construction order","Scenario A (Y,Y), Scenario B (Y, enhanced), Scenario C",check,,
p5-2014-lbnf,"Table 1 (p. 17), raw text, columns A B C: Large Projects | LBNF + PIP-II Y, Y Y, enhanced [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",science_driver,claude-sonnet,claude-haiku,Pursue the Physics Associated with Neutrino Mass,Pursue the physics associated with neutrino mass; Identify the new physics of dark matter (cosmic surveys components),no,,
