project,source_excerpt,field,model_a,model_b,value_a,value_b,agree,verdict,correct_value
p5-2014-muon-g-2,"Table 1 (p. 17), raw text, columns A B C: Large Projects | Muon program: Mu2e, Muon g-2 Y, Y Y [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",size_class,claude-sonnet,claude-haiku,large,large,yes,,
p5-2014-nustorm,"Table 1 (p. 17), raw text, columns A B C: Large Projects | NuSTORM N N N",size_class,claude-sonnet,claude-haiku,large,large,yes,,
p5-2014-orka,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | ORKA N N N",size_class,claude-sonnet,claude-haiku,medium,medium,yes,,
p5-2014-pingu,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | PINGU Further development of concept encouraged",size_class,claude-sonnet,claude-haiku,medium,small,no,,
p5-2014-pip-ii,"Table 1 (p. 17), raw text, columns A B C: Large Projects | LBNF + PIP-II Y, Y Y, enhanced [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",size_class,claude-sonnet,claude-haiku,large,large,yes,,
p5-2014-radar,"Table 1 (p. 17), raw text, columns A B C: Large Projects | RADAR N N N",size_class,claude-sonnet,claude-haiku,large,small,no,,
p5-2014-chips,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | CHIPS N N N",rank_or_scenario,claude-sonnet,claude-haiku,A:N|B:N|C:N,A:N|B:N|C:N,yes,,
p5-2014-cmb-s4,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | CMB-S4 Y Y Y",rank_or_scenario,claude-sonnet,claude-haiku,A:Y|B:Y|C:Y,A:Y|B:Y|C:Y,yes,,
p5-2014-cta,Not in Table 1. Recommendation 21,rank_or_scenario,claude-sonnet,claude-haiku,not-in-table-1:recommended,not-in-table-1:recommended,yes,,
p5-2014-desi,"Table 1 (p. 17), raw text, columns A B C: Additional Small Projects | DESI N Y Y",rank_or_scenario,claude-sonnet,claude-haiku,A:N|B:Y|C:Y,A:N|B:Y|C:Y,yes,,
p5-2014-dm-g2,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | DM G2 Y Y Y",rank_or_scenario,claude-sonnet,claude-haiku,A:Y|B:Y|C:Y,A:Y|B:Y|C:Y,yes,,
p5-2014-dm-g3,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | DM G3 Y, reduced Y Y [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",rank_or_scenario,claude-sonnet,claude-haiku,"A:Y, reduced|B:Y|C:Y","A:Y, reduced|B:Y|C:Y",yes,,
p5-2014-hl-lhc,"Table 1 (p. 17), raw text, columns A B C: Large Projects | HL-LHC Y Y Y",rank_or_scenario,claude-sonnet,claude-haiku,A:Y|B:Y|C:Y,A:Y|B:Y|C:Y,yes,,
p5-2014-ilc,"Table 1 (p. 17), raw text, columns A B C: Large Projects | ILC R&D only R&D, Y [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",rank_or_scenario,claude-sonnet,claude-haiku,"A:R&D only|B:R&D, Y|C:Y",A:R&D only|B:R&D|C:Y,no,,
p5-2014-lar1,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | LAr1 N N N",rank_or_scenario,claude-sonnet,claude-haiku,A:N|B:N|C:N,A:N|B:N|C:N,yes,,
p5-2014-lbnf,"Table 1 (p. 17), raw text, columns A B C: Large Projects | LBNF + PIP-II Y, Y Y, enhanced [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",rank_or_scenario,claude-sonnet,claude-haiku,"A:Y|B:Y, enhanced|C:Y",A:Y|B:enhanced|C:enhanced,no,,
p5-2014-lsst,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | LSST Y Y Y",rank_or_scenario,claude-sonnet,claude-haiku,A:Y|B:Y|C:Y,A:Y|B:Y|C:Y,yes,,
p5-2014-mu2e,"Table 1 (p. 17), raw text, columns A B C: Large Projects | Muon program: Mu2e, Muon g-2 Y, Y Y [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",rank_or_scenario,claude-sonnet,claude-haiku,A:Y|B:Y|C:Y,A:Y|B:Y|C:Y,yes,,
p5-2014-muon-g-2,"Table 1 (p. 17), raw text, columns A B C: Large Projects | Muon program: Mu2e, Muon g-2 Y, Y Y [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",rank_or_scenario,claude-sonnet,claude-haiku,A:Y|B:Y|C:Y,A:Y|B:Y|C:Y,yes,,
p5-2014-nustorm,"Table 1 (p. 17), raw text, columns A B C: Large Projects | NuSTORM N N N",rank_or_scenario,claude-sonnet,claude-haiku,A:N|B:N|C:N,A:N|B:N|C:N,yes,,
p5-2014-orka,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | ORKA N N N",rank_or_scenario,claude-sonnet,claude-haiku,A:N|B:N|C:N,A:N|B:N|C:N,yes,,
p5-2014-pingu,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | PINGU Further development of concept encouraged",rank_or_scenario,claude-sonnet,claude-haiku,A:Further development of concept encouraged|B:Further development of concept encouraged|C:Further development of concept encouraged,A:further development|B:further development|C:further development,no,,
p5-2014-pip-ii,"Table 1 (p. 17), raw text, columns A B C: Large Projects | LBNF + PIP-II Y, Y Y, enhanced [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",rank_or_scenario,claude-sonnet,claude-haiku,"A:Y|B:Y, enhanced|C:Y",A:Y|B:Y|C:enhanced,no,,
p5-2014-radar,"Table 1 (p. 17), raw text, columns A B C: Large Projects | RADAR N N N",rank_or_scenario,claude-sonnet,claude-haiku,A:N|B:N|C:N,A:N|B:N|C:N,yes,,
p5-2014-chips,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | CHIPS N N N",agency,claude-sonnet,claude-haiku,DOE,not-stated,no,,
p5-2014-cmb-s4,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | CMB-S4 Y Y Y",agency,claude-sonnet,claude-haiku,DOE+NSF,NSF,no,,
p5-2014-cta,Not in Table 1. Recommendation 21,agency,claude-sonnet,claude-haiku,DOE+NSF,NSF,no,,
p5-2014-desi,"Table 1 (p. 17), raw text, columns A B C: Additional Small Projects | DESI N Y Y",agency,claude-sonnet,claude-haiku,DOE+NSF,DOE+NSF,yes,,
p5-2014-dm-g2,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | DM G2 Y Y Y",agency,claude-sonnet,claude-haiku,DOE+NSF,DOE+NSF,yes,,
p5-2014-dm-g3,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | DM G3 Y, reduced Y Y [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",agency,claude-sonnet,claude-haiku,DOE+NSF,DOE+NSF,yes,,
p5-2014-hl-lhc,"Table 1 (p. 17), raw text, columns A B C: Large Projects | HL-LHC Y Y Y",agency,claude-sonnet,claude-haiku,DOE+NSF,DOE+NSF,yes,,
p5-2014-ilc,"Table 1 (p. 17), raw text, columns A B C: Large Projects | ILC R&D only R&D, Y [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",agency,claude-sonnet,claude-haiku,not-stated,not-stated,yes,,
p5-2014-lar1,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | LAr1 N N N",agency,claude-sonnet,claude-haiku,DOE,not-stated,no,,
p5-2014-lbnf,"Table 1 (p. 17), raw text, columns A B C: Large Projects | LBNF + PIP-II Y, Y Y, enhanced [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",agency,claude-sonnet,claude-haiku,DOE,DOE,yes,,
p5-2014-lsst,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | LSST Y Y Y",agency,claude-sonnet,claude-haiku,DOE+NSF,NSF,no,,
p5-2014-mu2e,"Table 1 (p. 17), raw text, columns A B C: Large Projects | Muon program: Mu2e, Muon g-2 Y, Y Y [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",agency,claude-sonnet,claude-haiku,DOE,DOE,yes,,
p5-2014-muon-g-2,"Table 1 (p. 17), raw text, columns A B C: Large Projects | Muon program: Mu2e, Muon g-2 Y, Y Y [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",agency,claude-sonnet,claude-haiku,DOE,DOE,yes,,
p5-2014-nustorm,"Table 1 (p. 17), raw text, columns A B C: Large Projects | NuSTORM N N N",agency,claude-sonnet,claude-haiku,DOE,not-stated,no,,
p5-2014-orka,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | ORKA N N N",agency,claude-sonnet,claude-haiku,DOE,DOE,yes,,
p5-2014-pingu,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | PINGU Further development of concept encouraged",agency,claude-sonnet,claude-haiku,not-stated,NSF,no,,
p5-2014-pip-ii,"Table 1 (p. 17), raw text, columns A B C: Large Projects | LBNF + PIP-II Y, Y Y, enhanced [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",agency,claude-sonnet,claude-haiku,DOE,DOE,yes,,
p5-2014-radar,"Table 1 (p. 17), raw text, columns A B C: Large Projects | RADAR N N N",agency,claude-sonnet,claude-haiku,DOE,DOE,yes,,
p5-2014-chips,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | CHIPS N N N",science_driver,claude-sonnet,claude-haiku,neutrino-mass,neutrino-mass,yes,,
p5-2014-cmb-s4,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | CMB-S4 Y Y Y",science_driver,claude-sonnet,claude-haiku,neutrino-mass;cosmic-acceleration,cosmic-acceleration,no,,
p5-2014-cta,Not in Table 1. Recommendation 21,science_driver,claude-sonnet,claude-haiku,dark-matter,dark-matter,yes,,
p5-2014-desi,"Table 1 (p. 17), raw text, columns A B C: Additional Small Projects | DESI N Y Y",science_driver,claude-sonnet,claude-haiku,neutrino-mass;cosmic-acceleration,cosmic-acceleration;neutrino-mass,yes,,
p5-2014-dm-g2,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | DM G2 Y Y Y",science_driver,claude-sonnet,claude-haiku,dark-matter,dark-matter,yes,,
p5-2014-dm-g3,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | DM G3 Y, reduced Y Y [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",science_driver,claude-sonnet,claude-haiku,dark-matter,dark-matter,yes,,
p5-2014-hl-lhc,"Table 1 (p. 17), raw text, columns A B C: Large Projects | HL-LHC Y Y Y",science_driver,claude-sonnet,claude-haiku,higgs;dark-matter;unknown,higgs;dark-matter;unknown,yes,,
p5-2014-ilc,"Table 1 (p. 17), raw text, columns A B C: Large Projects | ILC R&D only R&D, Y [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",science_driver,claude-sonnet,claude-haiku,higgs;dark-matter;unknown,higgs,no,,
p5-2014-lar1,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | LAr1 N N N",science_driver,claude-sonnet,claude-haiku,neutrino-mass,neutrino-mass,yes,,
p5-2014-lbnf,"Table 1 (p. 17), raw text, columns A B C: Large Projects | LBNF + PIP-II Y, Y Y, enhanced [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",science_driver,claude-sonnet,claude-haiku,neutrino-mass;unknown,neutrino-mass,no,,
p5-2014-lsst,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | LSST Y Y Y",science_driver,claude-sonnet,claude-haiku,neutrino-mass;cosmic-acceleration,dark-matter;cosmic-acceleration,no,,
p5-2014-mu2e,"Table 1 (p. 17), raw text, columns A B C: Large Projects | Muon program: Mu2e, Muon g-2 Y, Y Y [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",science_driver,claude-sonnet,claude-haiku,unknown,unknown,yes,,
p5-2014-muon-g-2,"Table 1 (p. 17), raw text, columns A B C: Large Projects | Muon program: Mu2e, Muon g-2 Y, Y Y [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",science_driver,claude-sonnet,claude-haiku,unknown,unknown,yes,,
p5-2014-nustorm,"Table 1 (p. 17), raw text, columns A B C: Large Projects | NuSTORM N N N",science_driver,claude-sonnet,claude-haiku,neutrino-mass,neutrino-mass,yes,,
p5-2014-orka,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | ORKA N N N",science_driver,claude-sonnet,claude-haiku,unknown,unknown,yes,,
p5-2014-pingu,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | PINGU Further development of concept encouraged",science_driver,claude-sonnet,claude-haiku,neutrino-mass;dark-matter,neutrino-mass;dark-matter,yes,,
p5-2014-pip-ii,"Table 1 (p. 17), raw text, columns A B C: Large Projects | LBNF + PIP-II Y, Y Y, enhanced [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",science_driver,claude-sonnet,claude-haiku,neutrino-mass;unknown,neutrino-mass,no,,
p5-2014-radar,"Table 1 (p. 17), raw text, columns A B C: Large Projects | RADAR N N N",science_driver,claude-sonnet,claude-haiku,neutrino-mass,neutrino-mass,yes,,
p5-2014-chips,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | CHIPS N N N",target_date,claude-sonnet,claude-haiku,,,yes,,
p5-2014-cmb-s4,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | CMB-S4 Y Y Y",target_date,claude-sonnet,claude-haiku,2025,2025,yes,,
p5-2014-cta,Not in Table 1. Recommendation 21,target_date,claude-sonnet,claude-haiku,,2018-2028,no,,
p5-2014-desi,"Table 1 (p. 17), raw text, columns A B C: Additional Small Projects | DESI N Y Y",target_date,claude-sonnet,claude-haiku,2020-2025,2020-2025,yes,,
p5-2014-dm-g2,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | DM G2 Y Y Y",target_date,claude-sonnet,claude-haiku,2015-2024,2015-2024,yes,,
p5-2014-dm-g3,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | DM G3 Y, reduced Y Y [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",target_date,claude-sonnet,claude-haiku,2021-2030,2021-2030,yes,,
p5-2014-hl-lhc,"Table 1 (p. 17), raw text, columns A B C: Large Projects | HL-LHC Y Y Y",target_date,claude-sonnet,claude-haiku,2020-2029,2020-2030,no,,
p5-2014-ilc,"Table 1 (p. 17), raw text, columns A B C: Large Projects | ILC R&D only R&D, Y [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",target_date,claude-sonnet,claude-haiku,2019,2030s,no,,
p5-2014-lar1,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | LAr1 N N N",target_date,claude-sonnet,claude-haiku,,,yes,,
p5-2014-lbnf,"Table 1 (p. 17), raw text, columns A B C: Large Projects | LBNF + PIP-II Y, Y Y, enhanced [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",target_date,claude-sonnet,claude-haiku,2018-2035,2035,no,,
p5-2014-lsst,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | LSST Y Y Y",target_date,claude-sonnet,claude-haiku,2020-2030,2020-2030,yes,,
p5-2014-mu2e,"Table 1 (p. 17), raw text, columns A B C: Large Projects | Muon program: Mu2e, Muon g-2 Y, Y Y [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",target_date,claude-sonnet,claude-haiku,,2020s,no,,
p5-2014-muon-g-2,"Table 1 (p. 17), raw text, columns A B C: Large Projects | Muon program: Mu2e, Muon g-2 Y, Y Y [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",target_date,claude-sonnet,claude-haiku,,2020s,no,,
p5-2014-nustorm,"Table 1 (p. 17), raw text, columns A B C: Large Projects | NuSTORM N N N",target_date,claude-sonnet,claude-haiku,,,yes,,
p5-2014-orka,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | ORKA N N N",target_date,claude-sonnet,claude-haiku,,,yes,,
p5-2014-pingu,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | PINGU Further development of concept encouraged",target_date,claude-sonnet,claude-haiku,,,yes,,
p5-2014-pip-ii,"Table 1 (p. 17), raw text, columns A B C: Large Projects | LBNF + PIP-II Y, Y Y, enhanced [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",target_date,claude-sonnet,claude-haiku,,2018-onwards,no,,
p5-2014-radar,"Table 1 (p. 17), raw text, columns A B C: Large Projects | RADAR N N N",target_date,claude-sonnet,claude-haiku,,,yes,,
p5-2014-chips,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | CHIPS N N N",cost_at_ranking,claude-sonnet,claude-haiku,,,yes,,
p5-2014-cmb-s4,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | CMB-S4 Y Y Y",cost_at_ranking,claude-sonnet,claude-haiku,,,yes,,
p5-2014-cta,Not in Table 1. Recommendation 21,cost_at_ranking,claude-sonnet,claude-haiku,,,yes,,
p5-2014-desi,"Table 1 (p. 17), raw text, columns A B C: Additional Small Projects | DESI N Y Y",cost_at_ranking,claude-sonnet,claude-haiku,,,yes,,
p5-2014-dm-g2,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | DM G2 Y Y Y",cost_at_ranking,claude-sonnet,claude-haiku,,,yes,,
p5-2014-dm-g3,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | DM G3 Y, reduced Y Y [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",cost_at_ranking,claude-sonnet,claude-haiku,,,yes,,
p5-2014-hl-lhc,"Table 1 (p. 17), raw text, columns A B C: Large Projects | HL-LHC Y Y Y",cost_at_ranking,claude-sonnet,claude-haiku,,,yes,,
p5-2014-ilc,"Table 1 (p. 17), raw text, columns A B C: Large Projects | ILC R&D only R&D, Y [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",cost_at_ranking,claude-sonnet,claude-haiku,,,yes,,
p5-2014-lar1,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | LAr1 N N N",cost_at_ranking,claude-sonnet,claude-haiku,,,yes,,
p5-2014-lbnf,"Table 1 (p. 17), raw text, columns A B C: Large Projects | LBNF + PIP-II Y, Y Y, enhanced [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",cost_at_ranking,claude-sonnet,claude-haiku,,,yes,,
p5-2014-lsst,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | LSST Y Y Y",cost_at_ranking,claude-sonnet,claude-haiku,,,yes,,
p5-2014-mu2e,"Table 1 (p. 17), raw text, columns A B C: Large Projects | Muon program: Mu2e, Muon g-2 Y, Y Y [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",cost_at_ranking,claude-sonnet,claude-haiku,,,yes,,
p5-2014-muon-g-2,"Table 1 (p. 17), raw text, columns A B C: Large Projects | Muon program: Mu2e, Muon g-2 Y, Y Y [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",cost_at_ranking,claude-sonnet,claude-haiku,,,yes,,
p5-2014-nustorm,"Table 1 (p. 17), raw text, columns A B C: Large Projects | NuSTORM N N N",cost_at_ranking,claude-sonnet,claude-haiku,,,yes,,
p5-2014-orka,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | ORKA N N N",cost_at_ranking,claude-sonnet,claude-haiku,,,yes,,
p5-2014-pingu,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | PINGU Further development of concept encouraged",cost_at_ranking,claude-sonnet,claude-haiku,,,yes,,
p5-2014-pip-ii,"Table 1 (p. 17), raw text, columns A B C: Large Projects | LBNF + PIP-II Y, Y Y, enhanced [Table 1 cell notes, placement lost in PDF text: 'LBNF components delayed relative to Scenario B.' / 'possibly small hardware contributions. See text.' / 'some reductions with redirection to PIP-II development' / 'Mu2e small reprofile needed']",cost_at_ranking,claude-sonnet,claude-haiku,,,yes,,
p5-2014-radar,"Table 1 (p. 17), raw text, columns A B C: Large Projects | RADAR N N N",cost_at_ranking,claude-sonnet,claude-haiku,,,yes,,
p5-2014-chips,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | CHIPS N N N",cost_basis,claude-sonnet,claude-haiku,size-class-only,size-class-only,yes,,
p5-2014-cmb-s4,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | CMB-S4 Y Y Y",cost_basis,claude-sonnet,claude-haiku,size-class-only,size-class-only,yes,,
p5-2014-cta,Not in Table 1. Recommendation 21,cost_basis,claude-sonnet,claude-haiku,size-class-only,size-class-only,yes,,
